"CountryCode","sim_CHN","sim_USA","infras_frequency","invest_frequency"
"NGA",0.479715106326592,0.356424228215303,1,0
"NIC",0.521507461368122,0.401779859430425,0,0
"NLD",0.463579860800928,0.335582335211894,0,0
"NOR",0.456682705040684,0.427062576255537,0,1
"NPL",0.546518977452192,0.344105292609433,0,0
"NRU",0.488099185027915,0.423492527842163,0,1
"NZL",0.430871107619967,0.389575242167089,0,0
"OMN",0.471087832008826,0.312314909713757,0,0
"PAK",0.500103821846677,0.400614876700609,0,3
"PAN",0.411825722822652,0.443691785286142,0,2
"PER",0.447332711125792,0.308880815577401,1,1
"PHL",0.537036826860246,0.327612356828889,1,1
"PLW",0.432176495899538,0.379131312843325,1,0
"PNG",0.509963639884301,0.328275084572961,3,2
"POL",0.551621348958073,0.458317642266533,0,0
"PRK",0.387772621953257,0.272750961934281,0,0
"PRT",0.520592770875288,0.370214813753589,0,1
"PRY",0.524999451070678,0.364545874251847,1,0
"WBG",0.420115479185945,0.429951913652526,0,0
"QAT",0.556873686271478,0.446458232424176,1,0
"ROM",0.490720513264706,0.332945869213046,1,0
"RUS",0.433526438748252,0.428862884281844,1,0
"RWA",0.359822899977148,0.346452913711991,0,1
"SDN",0.495584758889203,0.274646449718698,0,2
"SEN",0.438049435617169,0.273001758545395,1,0
"SGP",0.380734143090971,0.294651948825982,0,0
"SLB",0.423175622411526,0.280897319576439,2,1
"SLE",0.457479700574123,0.426352929724432,3,0
"SLV",0.560749959020952,0.436316694580636,0,1
"SMR",0.455510970183185,0.360656822301743,0,0
"SOM",0.308343631706676,0.300219313296241,0,1
"SSD",0.490644071004976,0.332810050658082,1,0
"STP",0.525938206660809,0.352443239165011,0,0
"SUR",0.370365779242723,0.32917286829194,0,1
"SVK",0.554094018461976,0.53057218014923,0,1
"SVN",0.484566691183987,0.34008858572348,0,0
"SWE",0.529023849290363,0.420106354640501,0,1
"SWZ",0.414053790065082,0.258297465529558,1,1
"SYC",0.477902394960893,0.403265061562642,0,0
"SYR",0.400770298824173,0.389885010853379,0,0
