"CountryName","AIIB.member","IMF.voting.power","foreign.invest.outflow","foreign.invest.inflow","capital.account","financial.account","reserve.related.item","current.account.balance","total.reserve","GDPgrowth","GNIgrowth","domestic.income","domestic.saving","gross.saving","trade","hightech.export","port.infrastructure","exchange.Rate","mobilephone.access","sim_CHN","sim_USA","infras_frequency","invest_frequency","wordscores"
"Ghana",0,0.18,6400000,3363389444.44444,1236025254.18681,-3809681580.602,-85220943.7874672,-3694575338.27762,3221318921.21548,3.98586562415207,2.35047645561907,33521873843.4917,17.7350832525617,18.48881118316,88.4514117678381,1048629760.72556,3.7,81.2249355371484,30360771,0.336744048082686,0.419056143276029,1,2,0.0769729454004748
"Guinea",0,0.07,853000,6.8e+07,-161650600.466208,-8938660512.5124,5745829714.89964,-10912124368.0286,301600722.77968,0.39999860108793,0.0985037188713846,9475146023758.45,-11.3364405320477,-2.06727145242632,80.6214928328527,3445207,2.9,7014.11877725,8683500,0.462661656086186,0.376005973141599,1,3,0.264115095865812
"Gambia, The",0,0.04,16791747.5379196,28404020.7988882,672658229.014123,13503543062.9751,-13607584683.4407,23510809922.8013,159330942.765352,0.877460638350016,-0.345937333952349,24014110433.2303,9.00456111068398,22.548325064164,64.4183406770227,0,4.2,41.7329616505126,2283691,0.518482301243976,0.458593543141782,0,0,0.168771985055537
"Guinea-Bissau",0,0.03,2747347.87577238,28852724.9375525,560770295.678899,-4532453427.19922,382337378.5338,-7712593213.63312,286950989.088721,2.54107510152161,2.20381496505168,394181735373.184,-1.61131300149633,17.2259627178878,50.0190732533685,-5410465798.8948,3.25967306917263,494.414952864937,1108297,0.490156928563962,0.286560228992188,0,0,0.381603741834558
"Equatorial Guinea",0,0.06,0,319569592.34651,1318208703.8007,-655024936.60454,1369678521.84123,-6595002256.6196,2906843520.49923,-0.677282946263475,0.444538291173188,7221149875467.78,57.431246905415,38.2482657377073,105.714268852987,13875793323.3915,5.45090127037597,494.414952864937,516540,0.388076027990288,0.283701408433898,0,0,0.281238773911734
"Greece",0,0.51,3015335276.06774,2696796378.89563,3354634133.21958,2174132309.14388,5472457673.98333,-3735734253.24938,6236288773.2901,0.352849232575196,0.46967975178643,185409186041.892,9.39214144699116,8.9670026916218,67.4429214594709,1209944931,4.7,-1246.92890832794,12270675,0.452020576278307,0.287206664959312,0,1,0.359336605294909
"Grenada",0,0.03,533333.333333333,38242222.2222222,1576030915.22666,10226990286.6497,-8116029627.62781,14793652152.414,169949449.853043,7.3567702653405,5.12810772727886,-229890332123075,2.70856968711906,15.5450800966055,71.5577976432344,13583759780.5636,2.42584693274308,2.7,117151,0.356716803232015,0.402530302632765,0,1,0.132876447731173
"Guatemala",0,0.11,-116701352.426812,1165765000,-1814493240.02505,-1724422452.42681,72502938.6037839,-1229741257.90571,7330866971.67438,4.17416913658175,3.72729493024254,228786632970.64,3.30495641142696,11.6360233858385,56.717915109745,211783122,4,7.73223333333333,16911811,0.414473126419637,0.386449469303683,1,0,0.249012323074365
"Guyana",0,0.07,0,237750048.55,52909710,-314457859.09,22341335.7062612,-385182803.31344,667925096.67203,3.84091528536199,1.53269457431859,-241071195341587,-7.6716378439132,6.19610052189792,132.733738205654,105393,3.5,206.449166666667,566905,0.449544369870678,0.393624701703075,1,2,0.230633473882654
"Honduras",0,0.08,174084222.602608,1294065691.43779,47502643.365,-1192594647.56421,455966905.618092,-1444242849.8583,3458314094.10734,3.08521496129973,3.22940456909642,163221143683.06,3.18904464887111,14.7970040538045,112.609234550673,41817226,4.1,844.731051052428,7725092,0.334555817178992,0.480633871301934,0,7,0.0219505272301683
"Croatia",0,0.17,2216664355.13455,3959857736.72732,101973776.478726,-178812519.271189,-764522186.626067,448060736.081718,15423622233.3927,-0.360434269363935,-0.356669373589526,315562044752.807,20.2332334828461,20.2840655340446,90.5123346086578,731324425,4.6,5.74816541666667,4461352,0.46042134922759,0.330801032012781,1,1,0.300126580533202
"Haiti",0,0.06,0,9.9e+07,31209793.51,-701598400.15658,-1046046646.7413,-801787901.4165,2034930204.96247,2.79683025903977,2.42664103846455,16194443636.7756,-4.11557039623772,22.0880452261924,72.9317002918573,-2506164798.37461,2.5,45.2159808923792,6769312,0.501011583075681,0.38622473965325,0,1,0.239488534256633
"Hungary",0,0.41,9050481596.99666,12596679634.7769,5125541658.93909,5923172675.73531,1199163717.59629,2765253592.89426,42019881732.4703,4.04732118010025,2.4052190985152,28556950671624.3,29.7966540152841,23.9861926248315,170.368752636562,12889370773,3.8,232.601666666667,11726491,0.208401189297,0.313332953116399,0,0,0.135399427779149
"Indonesia",1,0.95,10387533776.9083,25120732059.5134,26573826.6663247,-29667521861.8294,15248334582.6205,-27509865798.2326,111862604046.204,5.02388905198994,4.62007542131981,8444236431247390,33.7789609175345,31.0307920729074,48.057271153145,4980582046,4,11865.2112962963,325582819,0.434256882113199,0.475828686739072,0,1,0.148347941003717
"India",1,2.64,11686480933.1168,34576643694.1383,-74333637.3468819,-29990268879.2343,37583451673.1386,-27314281992.5894,325081060905.901,7.24347174583309,7.31222652562732,104015297592974,31.1135827412639,33.1448574087927,48.7995599465149,17315676298,4,61.0295144607843,944008677,0.503765700429087,0.524949723174201,0,0,0.108556507822307
"Ireland",0,0.72,98451299942.1891,86765614578.4911,179765205.177046,8780262845.79137,11309330090.102,8914347220.14628,1749394869.51586,8.46236674549191,10.7154548534008,183334565998.559,39.8671578070663,23.3043552965606,209.656684636967,21260562125,5.3,1685.80998012753,4914368,0.501501109095537,0.49892419735795,0,0,0.127248132512974
"Iran, Islamic Rep.",1,0.74,89335000,2105494000,-173894628.179731,-40359593240.667,32411285904.2745,-42839548470.4546,15729531960.0138,4.34334340221696,4.31047472217494,1993710098340120,38.6652178885966,-17.5101817461608,43.0630037197066,-3811244910.30461,4,25941.6641445972,68891151,0.417659359157773,0.468570017114183,0,0,0.0907425873211949
"Iraq",0,0.36,241500000,4781800000,2868027434.18332,-10545120806.1951,23976413870.4209,-17003922872.2111,66368652505.6425,0.0601088720166558,0.281557915621981,42691177046246.7,52.1665916760405,33.8390784127728,63.310911136108,13443111707.2313,4.5644530032159,1166,3.3e+07,0.448463750501033,0.444362205845209,0,0,0.165132520240137
"Iceland",1,0.09,21337987.7855653,766784288.746336,-13601380.6535087,584655232.533444,3588356048.29288,672699372.319884,4177067662.19601,1.82666045354701,1.4201536117819,1721606623613.7,23.051285402612,22.3492519070602,100.992127725888,118378747,5.9,116.767352506899,370047,0.506413338721557,0.396780665090666,1,0,0.262809782936048
"Israel",1,0.41,3667200000,6.738e+09,355400000,15967900000,7158696492.21542,11817200000,86101262662.7898,3.16304703399375,4.0474772576044,1023416527049.77,21.9599799410905,23.9810028160319,62.6032590296774,10241482000,3.8,3.577925,9500000,0.325853077527895,0.446818188346169,0,0,-0.0667472046676741
"Italy",1,3.03,20408855814.3372,17028003371.6525,4224756950.22833,56694000932.3496,-1212819737.24714,39535564308.6336,142756539021.191,0.0918949980592174,0.244649779652491,1541964491389.24,19.7649681940234,18.1690050220298,55.8071969346659,30744972831,4.5,-1007.07217717751,94226354,0.42447438893355,0.479645500036128,0,3,0.05306699312644
"Jamaica",0,0.11,-2145102.92293591,582148741.614112,9088165.55165912,-1301172382.43574,800342727.556075,-1114294109.20479,2473011829.08431,0.694621084436164,0.445505118679264,801358082516.479,0.240835067869032,14.2653855882073,84.7511122325145,3341254,4.9,110.934529155866,3005490,0.519276189991294,0.357546043747655,0,0,0.304943047138236
